sector,shock
HS3,0.43184841133266944
HS2,0.3723161425283761
HS1,0.2564971864073227
SERV2,0.374976135157143
SERV1,0.21989415140379986
REST1,0.26755435165449687
RETAIL2,0.3679058632441576
REST2,0.3012504150165101
RETAIL1,0.196824305405104
ACCOM1,0.1349376628726986
HC2,0.32340300156028784
UTIL,0.6
CONST2,0.4119008866370173
SERV3,0.2963855872159365
MANUF2,0.38389408094187943
HC3,0.2892420458301585
AG3,0.6
CONST3,0.36405713445807536
CONST1,0.19999999999999996
HC1,0.20403024760183006
ACCOM2,0.21356821756411104
AG2,0.30000000000000004
RETAIL3,0.4
