"guid","LS_0","LS_1","LS_2","DS_0","DS_1","DS_2","DS_3","hazard","failure_probability"
"fba4c73f-9b1b-4942-b7fb-bc276a4e0a4e","0.9872724421344061","0.9608685632901285","0.9418648261955826","0.0127275578655939","0.0264038788442776","0.0190037370945459","0.9418648261955826","Earthquake+Tsunami","0.993"
"65d6e370-c05b-4b2f-bd17-d914d1d056c7","0.7900493919","0.370528559","0.1065917931","0.2099506081","0.4195208329","0.2639367659","0.1065917931","Earthquake+Tsunami","0.796"
"dad76485-9694-409e-ac7f-c64c7bd5c32c","0.9872724421344061","0.9608685632901285","0.9418648261955826","0.0127275578655939","0.0264038788442776","0.0190037370945459","0.9418648261955826","Earthquake+Tsunami","0.987"
"6f57cfb6-d244-40d5-96f5-03aeddd5e30a","0.984050799978648","0.9549221301827928","0.9377482420690495","0.015949200021352","0.0291286697958552","0.0171738881137433","0.9377482420690495","Earthquake+Tsunami","0.991"
"929f1040-6224-409d-b4e3-58946daf3b91","0.9164799804353425","0.7289229810902667","0.5856234959353628","0.0835200195646575","0.1875569993450758","0.1432994851549039","0.5856234959353628","Earthquake+Tsunami","0.905"
"9020fc6c-4b0e-4e5b-b8be-fa58141b57b5","0.8209889426","0.3524470462","0.1180067458","0.1790110574","0.4685418964","0.2344403004","0.1180067458","Earthquake+Tsunami","0.814"
"3dcc3d59-dddf-4bc7-88cf-eacfe0b76ef0","0.9999996902898881","0.9999990759884405","0.9999986485169498","3.097101119E-7","6.143014476E-7","4.274714907E-7","0.9999986485169498","Earthquake+Tsunami","1.0"
"050589e0-041f-4ac6-83f8-420ac509cdde","0.9497858585209188","0.8426899783656061","0.6352365530001047","0.0502141414790812","0.1070958801553127","0.2074534253655014","0.6352365530001047","Earthquake+Tsunami","0.949"
"09c131b1-089b-4f1a-a14b-b705be8f5520","0.9986157821036398","0.995870224163019","0.993959683742847","0.0013842178963602","0.0027455579406208","0.001910540420172","0.993959683742847","Earthquake+Tsunami","1.0"
"44656106-10fc-423d-bc34-f37a947493e3","0.9872724421344061","0.9608685632901285","0.9418648261955826","0.0127275578655939","0.0264038788442776","0.0190037370945459","0.9418648261955826","Earthquake+Tsunami","0.989"
"0b4073d3-7d7e-439d-b9ef-1373291f37cc","0.7900493919","0.370528559","0.1065917931","0.2099506081","0.4195208329","0.2639367659","0.1065917931","Earthquake+Tsunami","0.764"
"bef20397-d546-475e-8dfd-b58a422019d8","0.7892057281","0.311960074","0.1001852776","0.2107942719","0.4772456541","0.2117747964","0.1001852776","Earthquake+Tsunami","0.779"
"f5e2c264-da77-4971-99d8-0c3d7562b986","0.9999692484084611","0.9999078009403539","0.9998691419638903","0.0000307515915389","0.0000614474681072","0.0000386589764636","0.9998691419638903","Earthquake+Tsunami","1.0"
"d8ffb229-86e0-4907-97a5-84eb9ac248e6","0.999999650742832","0.9999989580008919","0.9999984759453295","3.49257168E-7","6.927419401E-7","4.820555624E-7","0.9999984759453295","Earthquake+Tsunami","1.0"
"0bf34a44-f8fe-41b4-a241-7c71ed06aa20","0.9753086240262218","0.9130862318164006","0.7596001351385921","0.0246913759737782","0.0622223922098212","0.1534860966778085","0.7596001351385921","Earthquake+Tsunami","0.976"
"340d43a0-35ff-4738-b11b-849434a662a4","0.8209889426","0.3524470462","0.1180067458","0.1790110574","0.4685418964","0.2344403004","0.1180067458","Earthquake+Tsunami","0.815"
"defedc4a-ea47-45c6-87d5-4c374f6920e5","0.9872724421344061","0.9608685632901285","0.9418648261955826","0.0127275578655939","0.0264038788442776","0.0190037370945459","0.9418648261955826","Earthquake+Tsunami","0.99"
"837b8691-a385-4519-a7bc-6eed26afc2a7","0.9986157821036398","0.995870224163019","0.993959683742847","0.0013842178963602","0.0027455579406208","0.001910540420172","0.993959683742847","Earthquake+Tsunami","0.998"
"3ae2a39b-f04a-4654-8d64-672205c5007d","0.9986157821036398","0.995870224163019","0.993959683742847","0.0013842178963602","0.0027455579406208","0.001910540420172","0.993959683742847","Earthquake+Tsunami","1.0"
"ed2894f9-e44b-4ff0-acfb-b05b1367702c","0.9982678163934705","0.995261324521922","0.9935525284252694","0.0017321836065295","0.0030064918715485","0.0017087960966526","0.9935525284252694","Earthquake+Tsunami","0.998"
"b2873126-ea18-4a3b-99d8-ad908f80ef8d","0.9986157821036398","0.995870224163019","0.993959683742847","0.0013842178963602","0.0027455579406208","0.001910540420172","0.993959683742847","Earthquake+Tsunami","0.999"
"afa1ef2f-7bbe-41ae-95b4-3c5873a58f99","0.9999692484084611","0.9999078009403539","0.9998691419638903","0.0000307515915389","0.0000614474681072","0.0000386589764636","0.9998691419638903","Earthquake+Tsunami","1.0"
"113a852a-6876-4931-81f0-5158f0c70d14","0.9872724421344061","0.9608685632901285","0.9418648261955826","0.0127275578655939","0.0264038788442776","0.0190037370945459","0.9418648261955826","Earthquake+Tsunami","0.986"
"9d304a7c-e3f2-491d-ab32-0a8ec91a8e30","0.9847390231119547","0.9544692972351412","0.9334056241872876","0.0152609768880453","0.0302697258768135","0.0210636730478536","0.9334056241872876","Earthquake+Tsunami","0.988"
"4ac0a784-57a8-4437-a8ec-c0fefb85012e","0.9872724421344061","0.9608685632901285","0.9418648261955826","0.0127275578655939","0.0264038788442776","0.0190037370945459","0.9418648261955826","Earthquake+Tsunami","0.99"
"25bc3a48-29df-4335-ac04-3e186976490c","0.985949493543888","0.9505421462827526","0.8473748793627903","0.014050506456112","0.0354073472611354","0.1031672669199623","0.8473748793627903","Earthquake+Tsunami","0.988"
