sector,shock
HS3,0.41898549449180095
HS2,0.35629415810747456
HS1,0.26328945331974657
SERV2,0.4126639625217316
SERV1,0.3228912352199
REST1,0.3028935902785596
RETAIL2,0.30543158240839935
REST2,0.18516706531197785
RETAIL1,0.1751339278623919
ACCOM1,0.1836448741105457
HC2,0.17105024573971053
UTIL,0.09999999999999998
CONST2,0.3479326926100405
SERV3,0.31111413965582857
MANUF2,0.2890346901336083
HC3,0.20295354171638902
AG3,0.4
CONST3,0.3342565175902837
CONST1,0.5173538249779179
HC1,0.5
ACCOM2,0.15295583622648376
AG2,0.4
RETAIL3,0.8
